CID,Category,SubCategory,HeelHeight,Insole,Closure,Gender,Material,ToeStyle
8000192-7339,Shoes,Sneakers and Athletic Shoes,,Padded,Hook and Loop,Girls,Leather,Round Toe;Closed Toe
7609984-352723,Shoes,Boat Shoes,Under 1in,Padded,Slip-On,Women,Leather,Moc Toe;Closed Toe
7970635-352943,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Boys;Girls,Canvas;Leather,
7950244-3,Shoes,Oxfords,1in - 1 3/4in,Padded;Removable,Lace up,Men,Leather,Capped Toe;Round Toe;Closed Toe
7987522-3,Boots,Mid-Calf,,Moisture Wicking;Padded,Pull-on,Women,Leather,Round Toe;Closed Toe
7887980-6124,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Mesh;Rubber;Synthetic,
7596612-262770,Sandals,Flat,,EVA,Bungee;Slip-On,Women,Polyester,Bump Toe
7983897-358489,Shoes,Sneakers and Athletic Shoes,,Memory Foam;Padded,Toggle,Women,Synthetic,
7957021-319922,Boots,Ankle,2in - 2 3/4in,Padded,Lace up,Women,Leather,
8123849-378762,Shoes,Sneakers and Athletic Shoes,Flat,Orthotic Friendly;Padded;Removable,Lace up,Boys,Mesh;Synthetic,
7948152-344806,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Women,Synthetic,
8000708-3,Shoes,Oxfords,1in - 1 3/4in,Leather,Lace up,Men,Leather,Medallion;Round Toe;Closed Toe
7748822-935,Shoes,Heels,3in - 3 3/4in,,Hook and Loop,Women,Synthetic,Open Toe
7987522-18,Boots,Mid-Calf,,Moisture Wicking;Padded,Pull-on,Women,Leather,Round Toe;Closed Toe
7673190-3386,Shoes,Sneakers and Athletic Shoes,,,Bungee;Slip-On,Women,Suede,Round Toe;Closed Toe
7975432-355072,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Mesh;Synthetic,
7626150-385,Sandals,Flat,,EVA,Slip-On,Women,Leather;Synthetic,
8019854-369662,Shoes,Heels,1in - 1 3/4in,Leather;Padded;Removable,Hook and Loop,Women,Leather,Round Toe;Closed Toe
7388662-3,Shoes,Oxfords,,Padded,Lace up,Men,Leather,Center Seam;Square Toe
7305949-4250,Sandals,Flat,1in - 1 3/4in,Leather;Moisture Wicking;Padded;Removable,Hook and Loop,Women,Leather;Nappa,Round Toe
7532928-585,Sandals,Flat,,Leather,Buckle,Boys;Girls,Leather,Open Toe
7880473-387321,Shoes,Sneakers and Athletic Shoes,,,Lace up,Girls,Leather;Nubuck;Suede,
7864672-351105,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Removable,Lace up,Women,Microfiber,
8078735-72,Shoes,Oxfords,1in - 1 3/4in,Leather,Lace up,Men,Leather,Medallion
7895478-3,Shoes,Loafers,,EVA;Padded,Slip-On,Men,Leather,Moc Toe
7981299-315768,Boots,Ankle,Under 1in,Padded,Lace up;Zipper,Boys;Girls,Canvas,
7549521-372157,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Textile,Lace up,Men;Women,Mesh;Rubber;Suede,
7980879-357513,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Hook and Loop;Lace up,Girls,Mesh;Rubber;Synthetic,
8084340-3,Shoes,Loafers,Flat,Leather,Slip-On,Men,Leather;Synthetic,Snub Toe
7894892-327787,Boots,Mid-Calf,Under 1in,Leather;Memory Foam,Pull-on,Boys;Girls,Leather,Round Toe
7996755-72,Shoes,Loafers,,Leather;Moisture Wicking;Padded,Elastic Gore;Slip-On,Men,Full-grain leather,Square Toe;Closed Toe
7980010-72,Sandals,Flat,3in - 3 3/4in,Leather;Padded,Lace up,Women,Leather,Open Toe
8086168-200990,Shoes,Clogs and Mules,3in - 3 3/4in,Padded,Slip-On,Women,Leather,Open Toe
7328341-464,Shoes,Flats,1in - 1 3/4in,Latex Lined;Leather;Moisture Wicking;Padded,Slip-On,Women,Leather,Center Seam;Round Toe;Closed Toe
7608143-768,Sandals,Flat,1in - 1 3/4in,EVA;Leather,Buckle;Ankle Strap,Women,Leather,Open Toe
8050299-345947,Shoes,Sneakers and Athletic Shoes,Flat,Textile,Lace up,Women,Synthetic,Round Toe
7991265-113388,Shoes,Sneakers and Athletic Shoes,,Removable,Lace up,Men,,Round Toe;Closed Toe
7829061-30306,Boots,Ankle,4in - 4 3/4in,Padded,Elastic Gore,Women,,Square Toe
7503678-349084,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men;Women,Canvas;Leather;Rubber;Suede,
7871597-8674,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Men,Hemp;Suede,
7489398-338439,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Girls,Leather,
8080017-585,Sandals,Flat,2in - 2 3/4in,,Slip-On,Women,Faux Leather,Open Toe
7783873-69842,Boots,Ankle,,Removable,Lace up,Women,Leather,Round Toe
8027010-3,Shoes,Heels,1in - 1 3/4in,Padded,Slip-On,Women,Leather,Almond;Closed Toe
7174805-396,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men;Women,Canvas;Lace;Rubber,Capped Toe
7203635-275,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Women,Nylon;Suede,
8005818-365503,Shoes,Flats,Flat,Leather,Slip-On,Women,Leather,Round Toe
8002206-109449,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Leather,Round Toe;Closed Toe
8080558-416728,Shoes,Flats,1in - 1 3/4in,,Slip-On,Women,,Round Toe
8009411-359,Boots,Ankle,2in - 2 3/4in,Padded,Lace up,Women,Leather,Round Toe;Closed Toe
7751672-574,Shoes,Sneakers and Athletic Shoes,,,,Men,,
7980085-521,Sandals,Flat,3in - 3 3/4in,Padded,Buckle;Ankle Strap,Women,Patent Leather,Open Toe
7919290-7492,Boots,Mid-Calf,2in - 2 3/4in,,Lace up;Pull-on,Women,Synthetic,Round Toe
7834290-574,Shoes,Heels,5in & over,,Slip-On,Women,,Snip Toe;Closed Toe
7782847-72,Shoes,Heels,3in - 3 3/4in,,Slip-On,Women,Leather,Almond
7608741-326996,Shoes,Sneakers and Athletic Shoes,Flat,,Lace up,Men,Hemp,
8080532-6972,Shoes,Sneakers and Athletic Shoes,,Padded,Hook and Loop,Girls,Leather,Round Toe;Closed Toe
7901256-559,Shoes,Prewalker,,Leather,Hook and Loop,Girls,Leather,Round Toe;Wide Toe Box
7903475-330694,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Hook and Loop,Girls,Mesh;Synthetic,Round Toe
7208479-1184,Shoes,Loafers,,Padded;Removable,Slip-On,Men,Leather,Moc Toe
8147820-9,Shoes,Oxfords,1in - 1 3/4in,Leather,Lace up,Men,Lace;Leather;Rubber,Round Toe
8000326-552,Boots,Mid-Calf,,,Zipper,Girls,Synthetic,Round Toe;Closed Toe
7649956-15488,Sandals,Flat,2in - 2 3/4in,,Ankle Wrap;Slip-On,Women,Jute,Closed Toe
7883696-353838,Shoes,Sneakers and Athletic Shoes,,EVA,Lace up,Boys;Girls,Leather,
7607554-3,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Lace up,Men,Canvas,
7821575-301605,Boots,Ankle,2in - 2 3/4in,Leather;Padded,Lace up,Women,Leather;Rubber,Round Toe;Closed Toe
8116572-404610,Shoes,Heels,4in - 4 3/4in,Leather;Padded,Sling Back,Women,Patent Leather,Round Toe;Closed Toe
7987896-3,Boots,Knee High,,Leather,Zipper,Girls,Leather;Suede,Round Toe;Closed Toe
8080797-535,Sandals,Flat,Under 1in,,Buckle;Ankle Strap,Women,Leather,Open Toe
8004411-365189,Boots,Ankle,1in - 1 3/4in,Padded,Lace up,Women,Canvas,Round Toe;Closed Toe
8098526-767,Shoes,Heels,5in & over,Padded,Buckle;Ankle Strap,Women,Patent Leather,Open Toe
7616087-375366,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Textile,Hook and Loop;Lace up,Men,Canvas;Lace,
8022419-89,Shoes,Heels,4in - 4 3/4in,,Slip-On,Women,Patent Leather,Pointed Toe
7662392-3,Shoes,Loafers,,Leather,Elastic Gore;Slip-On,Men,Leather,Square Toe
7904642-388719,Sandals,Flat,2in - 2 3/4in,Padded,Slip-On,Women,,Closed Toe
7925657-368321,Sandals,Flat,,Moisture Wicking;Padded,Hook and Loop;Slip-On,Women,Leather;Suede,Open Toe
7950328-2930,Shoes,Heels,3in - 3 3/4in,Memory Foam;Padded,Buckle,Women,Patent Leather,Square Toe;Closed Toe
7777897-19488,Sandals,Flat,,EVA,Slip-On,Women,Rubber;Synthetic,Open Toe
7999032-49759,Shoes,Sneakers and Athletic Shoes,,EVA;Leather,Hook and Loop,Boys,Leather,Round Toe;Closed Toe
7950573-3580,Shoes,Heels,1in - 1 3/4in,Padded,Slip-On,Women,Leather,Round Toe;Closed Toe
7818587-358606,Shoes,Flats,,Padded,Slip-On,Women,Full-grain leather,Round Toe;Closed Toe
7992533-49212,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Boys,Nylon;Synthetic,
7925240-603,Sandals,Flat,,Leather,Buckle,Girls,Leather,Open Toe
8020599-20,Boots,Ankle,3in - 3 3/4in,Leather,Zipper,Women,Leather,Capped Toe;Round Toe;Closed Toe
7220980-25194,Sandals,Flat,2in - 2 3/4in,Padded;Synthetic Leather,Buckle,Women,Faux Leather,Round Toe
7997971-3,Boots,Mid-Calf,1in - 1 3/4in,Padded,Pull-on,Women,Leather;Suede,
7307551-3,Boots,Knee High,,Padded,Bungee,Boys,Synthetic,Round Toe
8004184-200,Shoes,Flats,,Leather;Padded,Slip-On,Girls,Leather,Capped Toe;Closed Toe
7990877-963,Boots,Ankle,5in & over,Padded,Zipper,Women,Suede,Snub Toe
8055326-153928,Boots,Ankle,5in & over,Leather,Zipper,Women,Leather,Round Toe;Closed Toe
7708135-14,Shoes,Sneakers and Athletic Shoes,Under 1in,Padded,Elastic Gore,Girls,Leather,
7149932-3683,Slippers,Slipper Flats,Flat,Memory Foam;Padded,Slip-On,Women,Terry,Open Toe
7920020-95,Shoes,Heels,4in - 4 3/4in,Leather;Padded,Slip-On,Women,Hair Calf,Pointed Toe
8008255-106,Boots,Knee High,2in - 2 3/4in,Padded,Zipper,Women,Patent Leather;Suede,Round Toe;Closed Toe
8137448-106,Slippers,Slipper Flats,Flat,,Slip-On,Men,Suede,Moc Toe;Round Toe;Closed Toe
7793111-341363,Boots,Ankle,,,Hook and Loop,Girls,Fleece,
7892155-349560,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Boys;Girls,Synthetic,
7672141-60041,Boots,Ankle,,,Lace up,Men,,
8072803-133653,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Canvas,Round Toe;Closed Toe
7161124-352729,Shoes,Boat Shoes,,Padded,Lace up,Women,Leather;Mesh;Nylon,Moc Toe
7788789-346238,Boots,Ankle,,,Pull-on,Boys,Fleece;Polyester,Closed Toe
8135631-63104,Shoes,Loafers,,,Elastic Gore;Slip-On,Women,,Round Toe;Closed Toe
7814418-3,Shoes,Sneakers and Athletic Shoes,,Removable;Textile,Hook and Loop,Boys,Leather;Suede,Bump Toe;Capped Toe;Round Toe;Closed Toe
7885267-31826,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Mesh;Synthetic,
7993232-126247,Shoes,Heels,2in - 2 3/4in,Padded,Slip-On,Women,Patent Leather,Round Toe;Closed Toe
8018862-369374,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Women,Mesh;Rubber;Synthetic,
8019353-369590,Boots,Mid-Calf,1in - 1 3/4in,Padded;Textile,Zipper,Women,Faux Leather,Round Toe;Closed Toe
7854425-3,Shoes,Flats,,,Slip-On,Girls,Leather,Round Toe
8076837-401,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Mesh;Suede,
7626677-3454,Shoes,Boat Shoes,Flat,,Lace up;Slip-On,Women,Suede,Moc Toe
7814575-399448,Shoes,Clogs and Mules,1in - 1 3/4in,Latex Lined;Orthotic Friendly;Removable,Elastic Gore;Slip-On,Women,Leather,Round Toe;Closed Toe
8070651-388517,Sandals,Flat,3in - 3 3/4in,Padded,Slip-On,Women,Leather,Open Toe
7349287-13080,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Hook and Loop,Girls,Mesh;Nylon;Synthetic,Round Toe;Closed Toe
7757462-1083,Shoes,Loafers,,Gel;Moisture Wicking;Padded;Removable,Slip-On,Men,Leather,Moc Toe
7297622-380247,Shoes,Boat Shoes,,Padded,Lace up,Women,Canvas,Moc Toe
7999911-214802,Boots,Mid-Calf,Flat,,Zipper,Girls,Suede;Synthetic,Round Toe;Closed Toe
8023889-47502,Boots,Ankle,2in - 2 3/4in,Padded;Synthetic Leather,Zipper,Women,Faux Leather;Synthetic,Round Toe;Closed Toe
8071496-151,Shoes,Sneakers and Athletic Shoes,Flat,Moisture Wicking;Padded,Lace up,Men,Leather;Patent Leather,
8009952-3,Shoes,Loafers,1in - 1 3/4in,Leather,Slip-On,Men,Leather,Wingtip
8128961-14,Sandals,Flat,Flat,,Slip-On,Women,Rubber,Open Toe
7884169-339311,Shoes,Sneakers and Athletic Shoes,,Leather;Padded;Textile,Lace up,Men;Women,Lace;Leather;Rubber;Synthetic,
8031210-373750,Shoes,Sneakers and Athletic Shoes,Flat,,Lace up,Girls,Leather,
7644820-18,Boots,Ankle,2in - 2 3/4in,Leather;Padded,Pull-on,Women,Leather;Rubber,Round Toe;Closed Toe
7976872-21773,Sandals,Flat,4in - 4 3/4in,Leather,Buckle,Women,Suede,Open Toe
7837609-61686,Slippers,Slipper Flats,1in - 1 3/4in,EVA;Moisture Wicking;Padded,Hook and Loop;Slip-On,Women,Terry,Round Toe;Closed Toe
7255074-359,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded,Lace up,Men;Women,Canvas;Cotton;Leather;Rubber;Suede,
7848104-9,Shoes,Crib Shoes,,,Hook and Loop,Boys,Corduroy,Round Toe;Closed Toe
8023177-535,Boots,Ankle,Flat,Moisture Wicking;Padded,Hook and Loop,Girls,,
7948340-332,Shoes,Loafers,1in - 1 3/4in,Padded,Elastic Gore;Slip-On,Men,Leather,Round Toe;Closed Toe
7976624-355798,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Mesh;Rubber;Synthetic,
7821513-248970,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Lace up,Men,Leather;Rubber,Capped Toe;Round Toe;Closed Toe
7989617-13910,Shoes,Sneakers and Athletic Shoes,,Memory Foam;Padded;Removable,Hook and Loop,Girls,Full-grain leather;Mesh;Rubber,
8065059-352215,Shoes,Sneakers and Athletic Shoes,,Gel;Padded,Lace up,Boys;Girls,Faux Leather;Mesh;Synthetic,
118245-164509,Shoes,Clogs and Mules,1in - 1 3/4in,Removable,Slip-On,Men,Leather,
7898430-16190,Shoes,Sneakers and Athletic Shoes,,Memory Foam;Removable,Lace up,Men,Microfiber;Mesh;Nylon;Polyester,Wide Toe Box
7853580-330442,Shoes,Sneakers and Athletic Shoes,,EVA;Leather;Padded;Synthetic Leather,Lace up,Men,Rubber;Synthetic,
7133667-360,Shoes,Oxfords,,EVA;Padded,Lace up,Men,Full-grain leather;Leather,Round Toe
7426382-106,Boots,Ankle,Under 1in,Padded,Zipper,Women,Suede,Moc Toe
7973126-151,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Nylon,
7895807-275218,Sandals,Flat,1in - 1 3/4in,Moisture Wicking;Padded,Slip-On,Women,Leather,Open Toe
8107504-184731,Shoes,Sneakers and Athletic Shoes,Flat,,Lace up,Men,Lace;Nylon;Rubber;Suede,Round Toe
7902190-6,Shoes,Prewalker,,Leather,Hook and Loop,Boys,Leather,
8001578-328,Shoes,Loafers,1in - 1 3/4in,Memory Foam,Slip-On,Women,Leather,Round Toe;Closed Toe
7829943-228483,Shoes,Flats,1in - 1 3/4in,Latex Lined;Leather;Removable,Hook and Loop,Women,Leather;Nubuck,Closed Toe
7790666-3,Sandals,Flat,2in - 2 3/4in,Padded,Slip-On,Women,Leather,
7950317-3,Shoes,Heels,3in - 3 3/4in,Memory Foam;Padded,Buckle,Women,Leather,Almond;Closed Toe
7747707-301365,Shoes,Sneakers and Athletic Shoes,,EVA,Slip-On,Boys;Girls,,
8032424-574,Shoes,Clogs and Mules,,Padded;Textile,Slip-On,Women,,Round Toe;Closed Toe
8070476-407952,Shoes,Flats,,Padded,Buckle;Ankle Strap,Women,Synthetic,Round Toe
8080568-52931,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Mesh;Nylon;Synthetic,
7785048-286536,Boots,Mid-Calf,,Moisture Wicking;Padded,Pull-on;Zipper,Women,Full-grain leather,
7764118-14,Shoes,Flats,,Leather;Padded,Hook and Loop,Girls,Leather,
7560723-51808,Boots,Mid-Calf,2in - 2 3/4in,Leather;Padded,Pull-on,Women,Full-grain leather;Leather,Round Toe;Closed Toe
7264226-73923,Boots,Mid-Calf,1in - 1 3/4in,EVA;Gel;Moisture Wicking,Pull-on,Women,Full-grain leather;Leather,Round Toe;Closed Toe
7888041-303586,Shoes,Boat Shoes,,EVA;Padded;Removable,Lace up,Men,Leather,Moc Toe;Round Toe;Closed Toe
7567515-8914,Shoes,Boat Shoes,,EVA;Padded,Slip-On,Men,Canvas;Rubber;Synthetic,Round Toe;Closed Toe
7875393-3,Sandals,Flat,Under 1in,Padded,Elastic Gore;Slip-On,Women,Leather;Nubuck,Open Toe
8014404-585,Shoes,Prewalker,,Leather,Hook and Loop,Boys,Leather;Suede,Round Toe;Closed Toe
7829245-364982,Boots,Knee High,Under 1in,,Lace up;Zipper,Women,Leather;Synthetic,Round Toe
8054592-500,Shoes,Heels,4in - 4 3/4in,,Slip-On,Women,Suede,Round Toe;Closed Toe
7975982-355462,Shoes,Sneakers and Athletic Shoes,,Moisture Wicking;Padded,Lace up,Men,Leather,
8146852-28330,Shoes,Sneakers and Athletic Shoes,,Moisture Wicking;Padded;Polyurethane,Elastic Gore,Women,Microfiber;Rubber;Synthetic,
8007013-72,Boots,Knee High,Flat,Padded;Removable,Zipper,Women,Leather,Round Toe;Closed Toe
7943212-378542,Shoes,Oxfords,,,Lace up,Women,Suede,Round Toe;Closed Toe
8057343-3,Boots,Ankle,1in - 1 3/4in,Padded,Lace up,Men,Suede,Medallion;Closed Toe
7864804-23021,Shoes,Sneakers and Athletic Shoes,,Padded,Slip-On,Women,Leather;Suede,
7161124-216278,Shoes,Boat Shoes,,Padded,Lace up,Women,Leather;Mesh;Nylon,Moc Toe
8013953-367695,Boots,Ankle,3in - 3 3/4in,Padded,Elastic Gore;Pull-on,Women,Leather,Peep Toe
7758883-279403,Shoes,Oxfords,,Padded,Lace up,Men,Leather,Capped Toe
8005942-3,Shoes,Flats,Flat,Leather,Slip-On,Women,Leather,Round Toe
7927963-3,Sandals,Flat,,EVA;Leather;Memory Foam,Slip-On,Women,Leather,Open Toe
8125955-28146,Boots,Ankle,Flat,,Button Loop,Girls,Sheepskin,Round Toe;Closed Toe
7373686-1413,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys,,
7867338-315778,Boots,Ankle,1in - 1 3/4in,EVA;Padded;Textile,Lace up,Men,Lace;Leather;Rubber,Bump Toe;Round Toe
8001116-235234,Shoes,Sneakers and Athletic Shoes,,,Lace up,Women,Leather;Mesh;Synthetic,Closed Toe
7934488-340904,Sandals,Flat,,Leather;Padded,Hook and Loop,Girls,Leather;Patent Leather,Open Toe
7980053-18,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,,Boys,Mesh;Rubber;Synthetic,
8072006-10005,Shoes,Loafers,1in - 1 3/4in,Padded,Slip-On,Men,Full-grain leather,Bicycle Toe;Round Toe;Closed Toe
7743717-3,Sandals,Flat,3in - 3 3/4in,Leather,Ankle Wrap;Buckle;Ankle Strap,Women,Leather;Synthetic,Open Toe
7655186-3,Boots,Ankle,,Moisture Wicking;Padded,Button Loop;Pull-on,Women,Crochet;Polyester;Suede;Wool,Round Toe
7608246-335494,Boots,Mid-Calf,2in - 2 3/4in,Gel;Leather;Padded,Pull-on,Men,Leather;Rubber,Snip Toe;Snub Toe;Closed Toe
7330262-289965,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Buckle;Pull-on,Women,Leather;Rubber,Round Toe;Closed Toe
7708136-3,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,Padded,Buckle,Girls,Synthetic,Round Toe
7493933-696,Boots,Ankle,2in - 2 3/4in,Padded,Pull-on,Women,,Round Toe;Closed Toe
7971523-279584,Shoes,Flats,Under 1in,Leather;Padded,Slip-On,Women,Suede,Round Toe;Closed Toe
7953234-421,Shoes,Sneakers and Athletic Shoes,,Leather,Lace up,Women,Suede,Round Toe;Closed Toe
8070467-388379,Shoes,Flats,,Padded,Slip-On,Women,Full-grain leather,Moc Toe;Round Toe;Closed Toe
7599193-1679,Boots,Mid-Calf,,Moisture Wicking;Padded,Pull-on,Boys;Girls,Sheepskin;Suede,
7893460-3,Shoes,Sneakers and Athletic Shoes,,Memory Foam;Removable,Lace up,Men,Leather;Mesh,Round Toe
7907680-54570,Shoes,Flats,Under 1in,Padded,Slip-On,Women,Nubuck,Round Toe;Closed Toe
8115140-6181,Sandals,Flat,2in - 2 3/4in,Padded,Buckle,Women,Full-grain leather,Open Toe
8090157-3,Shoes,Loafers,Flat,Leather,Slip-On,Men,Leather;Synthetic,Snub Toe
7999727-9,Boots,Mid-Calf,Under 1in,,Pull-on,Boys,Rubber,Round Toe;Closed Toe
7965404-234622,Sandals,Flat,2in - 2 3/4in,,Buckle;Zipper,Women,Leather,Peep Toe
7837772-190250,Slippers,Slipper Flats,1in - 1 3/4in,,Slip-On,Women,Shearling;Suede,Round Toe;Closed Toe
7479540-4769,Shoes,Heels,3in - 3 3/4in,Padded,Slip-On,Women,Leather,Pointed Toe;Closed Toe
7755899-369385,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Faux Leather;Mesh;Synthetic,
7792122-61900,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Pull-on,Women,Leather;Rubber,Round Toe;Closed Toe
7593283-652,Sandals,Flat,,EVA,Slip-On,Women,Nubuck,
7998945-6,Boots,Ankle,1in - 1 3/4in,Padded,,Men,Lace;Mesh;Rubber;Suede;Synthetic,
106507-71,Shoes,Loafers,,Leather,Slip-On,Men,Leather,Moc Toe
7554149-2374,Shoes,Loafers,,Leather;Moisture Wicking;Padded,Elastic Gore;Slip-On,Men,Leather,Round Toe
7989912-80,Boots,Ankle,1in - 1 3/4in,Leather,Zipper,Women,Leather,Round Toe;Closed Toe
7622629-10883,Sandals,Heel,2in - 2 3/4in,,Slip-On,Women,,
7290076-385004,Shoes,Sneakers and Athletic Shoes,Flat,,Elastic Gore;Slip-On,Boys;Girls,Canvas,
7749230-15,Sandals,Flat,1in - 1 3/4in,Leather;Moisture Wicking,Slip-On,Women,Leather,Open Toe
8030773-1334,Slippers,Slipper Flats,,Textile,Slip-On,Girls,,Round Toe;Closed Toe
7549978-6865,Boots,Mid-Calf,,Removable,Lace up;Pull-on,Women,Full-grain leather;Suede,
8113487-310,Shoes,Flats,,,Slip-On,Women,Leather,Pointed Toe
7563661-207331,Boots,Ankle,,Removable,Elastic Gore;Pull-on,Men,Full-grain leather;Leather,Round Toe
8013626-5,Sandals,Flat,2in - 2 3/4in,Memory Foam;Padded,Slip-On,Women,Synthetic,Open Toe
8020484-37412,Boots,Ankle,4in - 4 3/4in,Leather,Lace up,Women,Suede,Round Toe;Closed Toe
7292318-51,Sandals,Flat,,EVA;Leather,,Men,Cork;Leather;Mesh;Rubber,
7864694-315295,Shoes,Sneakers and Athletic Shoes,,Memory Foam;Padded,Lace up,Men,Mesh;Suede;Synthetic,
8030554-552,Boots,Ankle,5in & over,,Zipper,Women,Synthetic,Peep Toe
8064973-3229,Shoes,Heels,3in - 3 3/4in,Leather;Padded,Buckle;Ankle Strap,Women,Leather,Pointed Toe;Closed Toe
7903852-52937,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Leather,
7797613-72,Shoes,Oxfords,,Padded,Lace up,Boys,Leather,Round Toe;Closed Toe
7821442-5977,Shoes,Oxfords,,Leather,Monk Strap,Men,Leather;Suede,
8105577-341,Sandals,Flat,5in & over,Leather;Padded,Zipper,Women,Leather,Peep Toe
8075963-429,Shoes,Flats,Under 1in,,Slip-On,Women,Synthetic,Round Toe
8044332-106,Shoes,Loafers,,Padded,Slip-On,Women,Suede,Square Toe;Closed Toe
7212450-364985,Shoes,Boat Shoes,Flat,Padded,Lace up,Women,,Moc Toe
8015518-368202,Shoes,Flats,,Padded,Slip-On,Women,Leather,Round Toe;Wingtip;Closed Toe
